Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
saturnreturnzz,saturnreturnzz,,0,1,1,1,1,1,0,18
thestmagazine,thestmagazine,,0,0,0,0,0,0,0,0
mirrorroyal,mirrorroyal,,7,0,7,0,0,0,0,18
nean61170806,nean61170806,,0,10,10,1,1,1,0,9
westcoastwoman7,westcoastwoman7,,0,0,0,0,0,0,0,0
voulal2010,voulal2010,,0,18,18,2,0.875,0.928571,0,18
asksab2,asksab2,,3,0,3,0,0,0,0,9
ladycecilynevil,ladycecilynevil,,2,0,2,0,0,0,0,18
tellitl66077922,tellitl66077922,,0,0,0,0,0,0,0,0
things_royal,things_royal,,4,0,4,0,0,0,0,8
marie62100602,marie62100602,,0,0,0,0,0,0,0,0
irelandneweupr1,irelandneweupr1,,0,0,0,0,0,0,0,0
edithwhartonfan,edithwhartonfan,,0,0,0,0,0,0,0,0
camillatominey,camillatominey,,3,0,3,0,0,0,0,9
risingsussex,risingsussex,,0,0,0,0,0,0,0,0
gmb,gmb,,1,0,1,0,0,0,0,13
gymk71682,gymk71682,,0,0,0,0,0,0,0,0
andaleprincess7,andaleprincess7,,0,0,0,0,0,0,0,0
maxmedieval,maxmedieval,,0,0,0,0,0,0,0,0
ridiculouspoppy,ridiculouspoppy,,1,3,4,1,1,1,3,18
remisagoodboy,remisagoodboy,,0,0,0,0,0,0,0,0
toohersean,toohersean,,0,10,10,1,1,1,0,8
thesun,thesun,,2,0,2,0,0,0,0,8
buzzfeednews,buzzfeednews,,0,0,0,0,0,0,0,0
marly21036678,marly21036678,,0,0,0,0,0,0,0,0
yachtgirlmm,yachtgirlmm,,0,0,0,0,0,0,0,0
lthesussex,lthesussex,,0,0,0,0,0,0,0,0
ambikqueen,ambikqueen,,0,0,0,0,0,0,0,0
cici86280666,cici86280666,,0,14,14,1,1,1,0,8
royalfamily,royalfamily,,2,0,2,0,0,0,0,18
ground_app,ground_app,,0,1,1,1,1,1,0,13
royalreporter,royalreporter,,0,0,0,0,0,0,0,0
scott1984fp,scott1984fp,,0,0,0,0,0,0,0,0
trouteyes,trouteyes,,0,0,0,0,0,0,0,0
people,people,,4,0,4,0,0,0,0,8
enienkela,enienkela,,1,2,3,1,1,1,2,9
dailymirror,dailymirror,,3,0,3,0,0,0,0,8
berguzarhalitl1,berguzarhalitl1,,0,0,0,0,0,0,0,0
ledbettercarly,ledbettercarly,,0,0,0,0,0,0,0,0
gertsroyals,gertsroyals,,0,0,0,0,0,0,0,0
oprahdaily,oprahdaily,,1,0,1,0,0,0,0,8
1tech4,1tech4,,0,0,0,0,0,0,0,0
sussexhenryviii,sussexhenryviii,,0,0,0,0,0,0,0,0
toricambridge,toricambridge,,0,0,0,0,0,0,0,0
kathlovestennis,kathlovestennis,,0,1,1,1,1,1,0,8
abc,abc,,0,0,0,0,0,0,0,0
dianedaisy1,dianedaisy1,,0,1,1,1,1,1,0,18
lauralee_365,lauralee_365,,0,0,0,0,0,0,0,0
lanesborough77,lanesborough77,,0,0,0,0,0,0,0,0
delores19268715,delores19268715,,0,7,7,1,1,1,0,9
loveforcambridg,loveforcambridg,,3,0,3,0,0,0,0,9
stefhrh,stefhrh,,0,2,2,1,1,1,0,8
kingsgingerstar,kingsgingerstar,,0,0,0,0,0,0,0,0
jococo20,jococo20,,0,0,0,0,0,0,0,0
dailymailuk,dailymailuk,,9,0,9,0,0,0,0,8
hello_to_thou,hello_to_thou,,0,2,2,1,1,1,0,18
scobie,scobie,,5,0,5,0,0,0,0,13
7trg6,7trg6,,0,0,0,0,0,0,0,1
ctvnews,ctvnews,,0,0,0,0,0,0,0,0
twig9876,twig9876,,0,0,0,0,0,0,0,0
cnni,cnni,,0,0,0,0,0,0,0,0
meldavisxx1,meldavisxx1,,0,0,0,0,0,0,0,0
danwootton,danwootton,,2,0,2,0,0,0,0,8
