Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
sussexlovely,sussexlovely,,3,0.583333,0.690476,0,17,0,3,3
scobie,scobie,,0,0,0,0,17,9,0,9
mid_zan,mid_zan,,1,1,1,45.5,7,2,12,14
dailyguardian1,dailyguardian1,,0,0,0,0,0,0,0,0
duchessjrm,duchessjrm,,1,1,1,0,13,0,3,3
hackedoffhugh,hackedoffhugh,,0,0,0,0,0,0,0,0
toblerona2,toblerona2,,5,0.295918,0.383908,57,9,1,4,5
meghansupporter,meghansupporter,,0,0,0,0,9,2,0,2
madamefigaro,madamefigaro,,0,0,0,0,0,0,0,0
gaynor4brexit,gaynor4brexit,,1,1,1,32,0,1,2,3
kaindeb,kaindeb,,0,0,0,0,0,0,0,0
cici86280666,cici86280666,,3,0.857143,0.935185,0,15,0,16,16
dailymailuk,dailymailuk,,0,0,0,0,15,8,0,8
divinelymeghan,divinelymeghan,,0,0,0,0,0,0,0,0
vanessanguyen28,vanessanguyen28,,0,0,0,0,3,1,0,1
ambikqueen,ambikqueen,,0,0,0,0,0,0,0,0
hellomag,hellomag,,0,0,0,0,15,3,0,3
daisyha58713895,daisyha58713895,,1,1,1,0,9,0,3,3
darksldeoftmoon,darksldeoftmoon,,0,0,0,0,0,0,0,0
eokenesi,eokenesi,,0,0,0,0,0,0,0,0
seeker43502426,seeker43502426,,0,0,0,0,0,0,0,0
verbalverity,verbalverity,,5,0.284404,0.334946,0,9,0,2,2
osei1977,osei1977,,0,0,0,0,0,0,0,0
alaskachic,alaskachic,,0,0,0,0,0,0,0,0
alanastott,alanastott,,0,0,0,0,13,2,0,2
glorian62678817,glorian62678817,,0,0,0,0,0,0,0,0
stephenmoraga,stephenmoraga,,0,0,0,0,0,0,0,0
wendyread2012,wendyread2012,,0,0,0,0,0,0,0,0
bonobochick,bonobochick,,0,0,0,0,0,0,0,0
kellyleighmcco2,kellyleighmcco2,,0,0,0,0,0,0,0,0
ilona84010600,ilona84010600,,0,0,0,0,0,0,0,0
straight1too,straight1too,,1,1,1,0,9,0,3,3
mirrorbreaking_,mirrorbreaking_,,0,0,0,0,0,0,0,0
namaste_40,namaste_40,,0,0,0,0,0,0,0,0
re_dailymail,re_dailymail,,0,0,0,0,0,0,0,0
hendopolis,hendopolis,,0,0,0,0,0,0,0,0
suzymoore75,suzymoore75,,0,0,0,0,2,1,0,1
forumsmeghan,forumsmeghan,,0,0,0,0,0,0,0,0
destigrace1,destigrace1,,0,0,0,0,0,0,0,0
debrobertsabc,debrobertsabc,,0,0,0,0,0,0,0,0
ghostcatbce,ghostcatbce,,0,0,0,0,0,0,0,0
maej43,maej43,,0,0,0,0,0,0,0,0
s_hairstylist,s_hairstylist,,0,0,0,0,0,0,0,0
piersmorgan,piersmorgan,,0,0,0,0,13,3,0,3
shearsconnaught,shearsconnaught,,0,0,0,0,0,0,0,0
evamisgo,evamisgo,,1,1,1,1.5,3,1,2,3
ueverwonderwhy,ueverwonderwhy,,0,0,0,0,0,0,0,0
royallypetite,royallypetite,,1,1,1,0,17,0,2,2
rafegirl,rafegirl,,0,0,0,0,0,0,0,0
tam_mav,tam_mav,,0,0,0,0,0,0,0,0
busiswagibson,busiswagibson,,0,0,0,0,17,1,0,1
wavesofluv11,wavesofluv11,,2,0.714286,0.8,0,13,0,3,3
sussexdaily,sussexdaily,,1,1,1,6,13,3,2,5
sublimelight2,sublimelight2,,0,0,0,0,0,0,0,0
yankeewally2,yankeewally2,,2,0.666667,0.75,3,15,1,1,2
karensoucy4,karensoucy4,,1,1,1,0,3,0,2,2
elguardiancent1,elguardiancent1,,0,0,0,0,0,0,0,0
whoknowstv,whoknowstv,,0,0,0,0,0,0,0,0
tmz,tmz,,0,0,0,0,7,2,0,2
tickernewsau,tickernewsau,,0,0,0,0,0,0,0,0
afpfr,afpfr,,0,0,0,0,0,0,0,0
_mercian,_mercian,,0,0,0,0,0,0,0,0
darrengrimes_,darrengrimes_,,0,0,0,0,0,0,0,0
jjstonefmnews,jjstonefmnews,,0,0,0,0,0,0,0,0
kcautv,kcautv,,0,0,0,0,0,0,0,0
adendeeq,adendeeq,,0,0,0,0,0,0,0,0
mailonline,mailonline,,0,0,0,0,7,10,0,10
evekendall76,evekendall76,,0,0,0,0,0,0,0,0
happybunnybee,happybunnybee,,1,1,1,17,9,2,1,3
kachirilady,kachirilady,,0,0,0,0,0,0,0,0
